,User_Name,Game_Name,Rating,User_Enc,Game_Enc
16,User 67,Red Dead Redemption 2,0.5,16,0
21,User 939,Red Dead Redemption 2,1.0,21,0
29,User 2940,Red Dead Redemption 2,0.9,29,0
35,User 82,Red Dead Redemption 2,0.5,35,0
55,User 2203,Red Dead Redemption 2,0.9,55,0
65,User 119,Red Dead Redemption 2,0.7,65,0
93,User 1037,Red Dead Redemption 2,1.0,93,0
99,User 2688,Red Dead Redemption 2,0.8,99,0
144,User 2082,Red Dead Redemption 2,1.0,144,0
168,User 85,Red Dead Redemption 2,0.5,168,0
200,User 3132,Red Dead Redemption 2,1.0,200,0
280,User 2304,Red Dead Redemption 2,0.9,280,0
318,User 860,Red Dead Redemption 2,0.0,318,0
379,User 1842,Red Dead Redemption 2,1.0,379,0
399,User 1005,Red Dead Redemption 2,0.7,399,0
407,User 941,Red Dead Redemption 2,1.0,407,0
408,User 663,Red Dead Redemption 2,0.4,408,0
415,User 112,Red Dead Redemption 2,1.0,415,0
435,User 3123,Red Dead Redemption 2,1.0,435,0
450,User 734,Red Dead Redemption 2,1.0,450,0
454,User 2137,Red Dead Redemption 2,0.6,454,0
459,User 2811,Red Dead Redemption 2,0.6,459,0
473,User 2513,Red Dead Redemption 2,1.0,473,0
542,User 1999,Red Dead Redemption 2,0.9,542,0
563,User 1324,Red Dead Redemption 2,1.0,563,0
600,User 1222,Red Dead Redemption 2,1.0,600,0
637,User 894,Red Dead Redemption 2,0.4,637,0
676,User 2996,Red Dead Redemption 2,0.7,676,0
678,User 3115,Red Dead Redemption 2,0.9,678,0
687,User 732,Red Dead Redemption 2,0.4,687,0
705,User 948,Red Dead Redemption 2,1.0,705,0
721,User 291,Red Dead Redemption 2,0.9,721,0
723,User 2309,Red Dead Redemption 2,1.0,723,0
756,User 1018,Red Dead Redemption 2,1.0,756,0
811,User 755,Red Dead Redemption 2,0.4,811,0
830,User 2116,Red Dead Redemption 2,0.1,830,0
833,User 1313,Red Dead Redemption 2,1.0,833,0
845,User 2241,Red Dead Redemption 2,0.7,845,0
860,User 22,Red Dead Redemption 2,0.5,860,0
866,User 260,Red Dead Redemption 2,1.0,866,0
872,User 2320,Red Dead Redemption 2,1.0,872,0
894,User 518,Red Dead Redemption 2,0.4,894,0
917,User 1967,Red Dead Redemption 2,1.0,917,0
933,User 1912,Red Dead Redemption 2,1.0,933,0
979,User 2061,Red Dead Redemption 2,1.0,979,0
980,User 3022,Red Dead Redemption 2,1.0,980,0
992,User 2791,Red Dead Redemption 2,0.9,992,0
1049,User 7,Red Dead Redemption 2,0.7,1049,0
1056,User 492,Red Dead Redemption 2,1.0,1056,0
1065,User 2733,Red Dead Redemption 2,0.8,1065,0
1078,User 2765,Red Dead Redemption 2,1.0,1078,0
1085,User 345,Red Dead Redemption 2,1.0,1085,0
1093,User 904,Red Dead Redemption 2,0.7,1093,0
1117,User 3080,Red Dead Redemption 2,1.0,1117,0
1195,User 1629,Red Dead Redemption 2,1.0,1195,0
1198,User 2875,Red Dead Redemption 2,1.0,1198,0
1200,User 1140,Red Dead Redemption 2,1.0,1200,0
1214,User 2412,Red Dead Redemption 2,0.1,1214,0
1231,User 2170,Red Dead Redemption 2,0.8,1231,0
1233,User 254,Red Dead Redemption 2,1.0,1233,0
1265,User 2150,Red Dead Redemption 2,1.0,1265,0
1294,User 1626,Red Dead Redemption 2,1.0,1294,0
1304,User 411,Red Dead Redemption 2,0.9,1304,0
1364,User 2934,Red Dead Redemption 2,1.0,1364,0
1405,User 2762,Red Dead Redemption 2,1.0,1405,0
1413,User 2070,Red Dead Redemption 2,0.9,1413,0
1442,User 1142,Red Dead Redemption 2,1.0,1442,0
1454,User 1733,Red Dead Redemption 2,0.8,1454,0
1462,User 502,Red Dead Redemption 2,0.3,1462,0
1464,User 2363,Red Dead Redemption 2,0.8,1464,0
1496,User 3017,Red Dead Redemption 2,0.7,1496,0
1548,User 773,Red Dead Redemption 2,0.3,1548,0
1555,User 331,Red Dead Redemption 2,1.0,1555,0
1557,User 2372,Red Dead Redemption 2,1.0,1557,0
1561,User 2980,Red Dead Redemption 2,1.0,1561,0
1574,User 2500,Red Dead Redemption 2,1.0,1574,0
1589,User 3137,Red Dead Redemption 2,0.7,1589,0
1606,User 2992,Red Dead Redemption 2,1.0,1606,0
1632,User 1030,Red Dead Redemption 2,0.7,1632,0
1643,User 2797,Red Dead Redemption 2,1.0,1643,0
1652,User 2711,Red Dead Redemption 2,0.9,1652,0
1666,User 495,Red Dead Redemption 2,1.0,1666,0
1695,User 3002,Red Dead Redemption 2,0.9,1695,0
1744,User 2146,Red Dead Redemption 2,1.0,1744,0
