,User_Name,Game_Name,Rating,User_Enc,Game_Enc
16,User 1249,Red Dead Redemption 2,0.0,17,0
41,User 2873,Red Dead Redemption 2,1.0,45,0
42,User 2836,Red Dead Redemption 2,0.9,46,0
66,User 705,Red Dead Redemption 2,1.0,72,0
75,User 1849,Red Dead Redemption 2,0.9,81,0
76,User 968,Red Dead Redemption 2,1.0,82,0
94,User 287,Red Dead Redemption 2,1.0,102,0
124,User 1908,Red Dead Redemption 2,1.0,132,0
139,User 1439,Red Dead Redemption 2,1.0,148,0
156,User 1256,Red Dead Redemption 2,1.0,165,0
167,User 3025,Red Dead Redemption 2,0.9,177,0
199,User 520,Red Dead Redemption 2,1.0,210,0
244,User 1012,Red Dead Redemption 2,0.8,255,0
252,User 1238,Red Dead Redemption 2,1.0,263,0
254,User 2018,Red Dead Redemption 2,1.0,265,0
257,User 920,Red Dead Redemption 2,1.0,268,0
285,User 2004,Red Dead Redemption 2,0.7,297,0
293,User 780,Red Dead Redemption 2,0.4,305,0
311,User 2704,Red Dead Redemption 2,1.0,324,0
322,User 2857,Red Dead Redemption 2,1.0,335,0
328,User 382,Red Dead Redemption 2,0.9,341,0
335,User 1272,Red Dead Redemption 2,1.0,348,0
340,User 1955,Red Dead Redemption 2,0.9,353,0
348,User 800,Red Dead Redemption 2,0.4,361,0
363,User 777,Red Dead Redemption 2,0.0,376,0
366,User 902,Red Dead Redemption 2,0.7,380,0
375,User 1978,Red Dead Redemption 2,1.0,389,0
381,User 652,Red Dead Redemption 2,1.0,395,0
384,User 400,Red Dead Redemption 2,1.0,398,0
400,User 2144,Red Dead Redemption 2,1.0,418,0
403,User 319,Red Dead Redemption 2,1.0,421,0
404,User 434,Red Dead Redemption 2,1.0,422,0
406,User 976,Red Dead Redemption 2,0.8,424,0
427,User 2917,Red Dead Redemption 2,1.0,446,0
430,User 1904,Red Dead Redemption 2,1.0,449,0
436,User 808,Red Dead Redemption 2,1.0,457,0
444,User 997,Red Dead Redemption 2,0.0,466,0
459,User 1824,Red Dead Redemption 2,1.0,482,0
461,User 1470,Red Dead Redemption 2,0.9,484,0
478,User 2448,Red Dead Redemption 2,1.0,501,0
504,User 1181,Red Dead Redemption 2,1.0,527,0
521,User 2874,Red Dead Redemption 2,1.0,545,0
529,User 532,Red Dead Redemption 2,0.8,553,0
535,User 140,Red Dead Redemption 2,0.7,559,0
545,User 992,Red Dead Redemption 2,1.0,570,0
557,User 2228,Red Dead Redemption 2,1.0,582,0
569,User 3036,Red Dead Redemption 2,0.9,594,0
579,User 1966,Red Dead Redemption 2,0.7,605,0
587,User 3030,Red Dead Redemption 2,0.9,613,0
596,User 2438,Red Dead Redemption 2,1.0,622,0
631,User 1823,Red Dead Redemption 2,1.0,658,0
643,User 2099,Red Dead Redemption 2,0.1,670,0
645,User 987,Red Dead Redemption 2,1.0,672,0
661,User 1484,Red Dead Redemption 2,1.0,691,0
671,User 288,Red Dead Redemption 2,1.0,701,0
685,User 2930,Red Dead Redemption 2,1.0,716,0
734,User 642,Red Dead Redemption 2,0.5,768,0
739,User 1994,Red Dead Redemption 2,0.4,773,0
743,User 2404,Red Dead Redemption 2,1.0,777,0
746,User 1440,Red Dead Redemption 2,1.0,780,0
760,User 96,Red Dead Redemption 2,0.7,794,0
784,User 2017,Red Dead Redemption 2,0.7,819,0
808,User 2321,Red Dead Redemption 2,0.8,846,0
823,User 1339,Red Dead Redemption 2,0.0,862,0
839,User 1623,Red Dead Redemption 2,1.0,880,0
853,User 2984,Red Dead Redemption 2,1.0,895,0
872,User 700,Red Dead Redemption 2,1.0,914,0
878,User 1821,Red Dead Redemption 2,0.5,921,0
885,User 2373,Red Dead Redemption 2,1.0,928,0
886,User 1875,Red Dead Redemption 2,0.9,929,0
908,User 1007,Red Dead Redemption 2,0.7,952,0
910,User 390,Red Dead Redemption 2,0.6,954,0
919,User 584,Red Dead Redemption 2,0.6,963,0
934,User 235,Red Dead Redemption 2,0.0,978,0
939,User 606,Red Dead Redemption 2,0.5,985,0
976,User 478,Red Dead Redemption 2,0.4,1023,0
979,User 1797,Red Dead Redemption 2,1.0,1026,0
980,User 422,Red Dead Redemption 2,0.9,1027,0
997,User 1607,Red Dead Redemption 2,0.9,1044,0
